"","Subject1Tag","Subject2Tag","ExtendedID","R","RelationshipPath","Intell_1","Strength_1","Orientation_1","Intell_2","Strength_2","Orientation_2"
"4974",1182000,1182200,11820,0.5,1,62.701,1.0313583431,1,41.801,0.2874462527,-1
"4975",1182100,1182200,11820,0.5,1,96.046,NA,NA,41.801,0.2874462527,-1
"4976",1182300,1182400,11823,0.5,1,NA,0.4091308328,1,48.782,-0.268630856,1
"4977",1182600,1182700,11826,0.5,1,4.529,-1.157831463,NA,7.867,-1.379335208,0
"4978",1182600,1182800,11826,0.5,1,4.529,-1.157831463,NA,27.906,0.614300512,0
"4979",1182700,1182800,11826,0.5,1,7.867,-1.379335208,0,27.906,0.614300512,0
"4980",1182600,1182900,11826,0.5,1,4.529,-1.157831463,NA,7.374,0.1921945691,-1
"4981",1182800,1182900,11826,0.5,1,27.906,0.614300512,0,7.374,0.1921945691,-1
"4982",1182700,1182900,11826,0.5,1,7.867,-1.379335208,0,7.374,0.1921945691,-1
"4983",1183100,1183200,11831,0.5,1,11.763,0.965207941,-1,9.266,-0.804340534,-1
"4984",1183100,1183300,11831,0.375,1,11.763,0.965207941,-1,13.696,-0.545219546,0
"4985",1183200,1183300,11831,0.25,1,9.266,-0.804340534,-1,13.696,-0.545219546,0
"4986",1183600,1183700,11836,0.5,1,10.178,-0.962277377,-1,7.649,-0.268630856,-1
"4987",1183600,1183800,11836,0.5,1,10.178,-0.962277377,-1,23.064,0.1310922787,-1
"4988",1183700,1183800,11836,0.5,1,7.649,-0.268630856,-1,23.064,0.1310922787,-1
"4989",1184000,1184100,11840,0.5,1,7.708,NA,NA,39.048,0.965207941,-1
"4990",1184500,1184600,11845,0.5,1,47.552,0.1310922787,-1,9.003,-0.15871286,-1
"4991",1184800,1184900,11848,0.5,1,48.795,0.6871693869,-1,14.611,0.965207941,-1
"4992",1185200,1185300,11852,NA,1,81.309,NA,NA,62.053,-0.106211415,1
"4993",1185400,1185500,11854,0.25,1,68.817,NA,NA,22.504,1.0313583431,NA
"4994",1185400,1185600,11854,0.25,1,68.817,NA,NA,19.4,NA,NA
"4995",1185500,1185600,11854,NA,1,22.504,1.0313583431,NA,19.4,NA,NA
"4996",1186000,1186100,11860,0.5,1,61.243,NA,NA,30.814,-1.062011658,-1
"4997",1186200,1186300,11862,0.5,1,59.342,NA,NA,78.549,0.1972426808,0
"4998",1186700,1186800,11867,0.5,1,18,-0.21981515,-1,54.37,0.614300512,-1
"4999",1186900,1187000,11869,0.5,1,83.763,0.4091308328,1,72.983,0.6871693869,1
"5000",1186900,1187100,11869,0.5,1,83.763,0.4091308328,1,88.152,-0.21981515,0
"5001",1187000,1187100,11869,0.5,1,72.983,0.6871693869,1,88.152,-0.21981515,0
"5002",1187600,1187700,11876,0.5,1,30.891,-0.189264005,NA,21.15,-0.545219546,0
"5003",1187900,1188000,11879,0.5,1,63.777,-0.268630856,1,44.032,-0.268630856,1
